ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ACTUAL_SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CUSTOMERNAME,POSTALCODE,COUNTRY,TERRITORY,DEALSIZE
10140,37,100,3700,7/24/2003,Shipped,3,7,2003,Classic Cars,214,Technics Stores Inc.,94217,USA,NA,Large
10150,45,100,4500,9/19/2003,Shipped,3,9,2003,Classic Cars,214,"Dragon Souveniers, Ltd.",79903,Singapore,Japan,Large
10163,21,100,2100,10/20/2003,Shipped,4,10,2003,Classic Cars,214,Classic Legends Inc.,10022,USA,NA,Medium
10174,34,100,3400,11/6/2003,Shipped,4,11,2003,Classic Cars,214,"Australian Gift Network, Co",4101,Australia,APAC,Large
10183,23,100,2300,11/13/2003,Shipped,4,11,2003,Classic Cars,214,"Classic Gift Ideas, Inc",71270,USA,NA,Medium
10194,42,100,4200,11/25/2003,Shipped,4,11,2003,Classic Cars,214,"Saveley & Henriot, Co.",69004,France,EMEA,Large
10206,47,100,4700,12/5/2003,Shipped,4,12,2003,Classic Cars,214,Canadian Gift Exchange Network,V3F 2K1,Canada,NA,Large
10215,35,100,3500,1/29/2004,Shipped,1,1,2004,Classic Cars,214,West Coast Collectables Co.,94019,USA,NA,Medium
10228,29,100,2900,3/10/2004,Shipped,1,3,2004,Classic Cars,214,Cambridge Collectables Co.,51247,USA,NA,Medium
10245,34,100,3400,5/4/2004,Shipped,2,5,2004,Classic Cars,214,Super Scale Inc.,97823,USA,NA,Medium
10258,32,100,3200,6/15/2004,Shipped,2,6,2004,Classic Cars,214,"Tokyo Collectables, Ltd",106-0032,Japan,Japan,Large
10270,21,100,2100,7/19/2004,Shipped,3,7,2004,Classic Cars,214,Souveniers And Things Co.,2067,Australia,APAC,Medium
10280,34,100,3400,8/17/2004,Shipped,3,8,2004,Classic Cars,214,Amica Models & Co.,10100,Italy,EMEA,Large
10291,37,100,3700,9/8/2004,Shipped,3,9,2004,Classic Cars,214,Scandinavian Gift Ideas,S-844 67,Sweden,EMEA,Large
10304,47,100,4700,10/11/2004,Shipped,4,10,2004,Classic Cars,214,Auto Assoc. & Cie.,78000,France,EMEA,Large
10312,48,100,4800,10/21/2004,Shipped,4,10,2004,Classic Cars,214,Mini Gifts Distributors Ltd.,97562,USA,NA,Large
10322,40,100,4000,11/4/2004,Shipped,4,11,2004,Classic Cars,214,Online Diecast Creations Co.,62005,USA,NA,Medium
10333,26,100,2600,11/18/2004,Shipped,4,11,2004,Classic Cars,214,Mini Wheels Co.,Unknown,USA,NA,Medium
10347,30,100,3000,11/29/2004,Shipped,4,11,2004,Classic Cars,214,"Australian Collectors, Co.",3004,Australia,APAC,Medium
10357,32,100,3200,12/10/2004,Shipped,4,12,2004,Classic Cars,214,Mini Gifts Distributors Ltd.,97562,USA,NA,Medium
10369,41,100,4100,1/20/2005,Shipped,1,1,2005,Classic Cars,214,Collectables For Less Inc.,58339,USA,NA,Medium
10381,36,100,3600,2/17/2005,Shipped,1,2,2005,Classic Cars,214,Corporate Gift Ideas Co.,Unknown,USA,NA,Large
10391,24,100,2400,3/9/2005,Shipped,1,3,2005,Classic Cars,214,"Anna's Decorations, Ltd",2060,Australia,APAC,Small
10411,23,100,2300,5/1/2005,Shipped,2,5,2005,Classic Cars,214,Quebec Home Shopping Network,H1J 1C3,Canada,NA,Medium
10424,50,100,5000,5/31/2005,In Process,2,5,2005,Classic Cars,214,Euro Shopping Channel,28034,Spain,EMEA,Large
10107,39,99.91,3896.49,2/24/2003,Shipped,1,2,2003,Motorcycles,118,Land of Toys Inc.,10022,USA,NA,Medium
10120,29,96.34,2793.86,4/29/2003,Shipped,2,4,2003,Motorcycles,118,"Australian Collectors, Co.",3004,Australia,APAC,Small
10134,27,100,2700,7/1/2003,Shipped,3,7,2003,Motorcycles,118,Lyon Souveniers,75508,France,EMEA,Medium
10145,37,100,3700,8/25/2003,Shipped,3,8,2003,Motorcycles,118,Toys4GrownUps.com,90003,USA,NA,Medium
10159,37,100,3700,10/10/2003,Shipped,4,10,2003,Motorcycles,118,Corporate Gift Ideas Co.,Unknown,USA,NA,Medium
10168,27,100,2700,10/28/2003,Shipped,4,10,2003,Motorcycles,118,Technics Stores Inc.,94217,USA,NA,Medium
10180,42,100,4200,11/11/2003,Shipped,4,11,2003,Motorcycles,118,Daedalus Designs Imports,59000,France,EMEA,Medium
10188,38,96.34,3660.92,11/18/2003,Shipped,4,11,2003,Motorcycles,118,Herkku Gifts,N 5804,Norway,EMEA,Medium
10201,24,100,2400,12/1/2003,Shipped,4,12,2003,Motorcycles,118,Mini Wheels Co.,Unknown,USA,NA,Medium
10210,23,100,2300,1/12/2004,Shipped,1,1,2004,Motorcycles,118,Osaka Souveniers Co.,530-0003,Japan,Japan,Medium
10223,47,100,4700,2/20/2004,Shipped,1,2,2004,Motorcycles,118,"Australian Collectors, Co.",3004,Australia,APAC,Medium
10236,22,100,2200,4/3/2004,Shipped,2,4,2004,Motorcycles,118,Motor Mint Distributors Inc.,71270,USA,NA,Small
10251,44,100,4400,5/18/2004,Shipped,2,5,2004,Motorcycles,118,Tekni Collectables Inc.,94019,USA,NA,Medium
10263,40,100,4000,6/28/2004,Shipped,2,6,2004,Motorcycles,118,Gift Depot Inc.,97562,USA,NA,Medium
10275,22,100,2200,7/23/2004,Shipped,3,7,2004,Motorcycles,118,La Rochelle Gifts,44000,France,EMEA,Small
10285,47,100,4700,8/27/2004,Shipped,3,8,2004,Motorcycles,118,Marta's Replicas Co.,51247,USA,NA,Medium
10298,39,96.34,3757.26,9/27/2004,Shipped,3,9,2004,Motorcycles,118,Atelier graphique,44000,France,EMEA,Medium
10308,34,100,3400,10/15/2004,Shipped,4,10,2004,Motorcycles,118,Mini Classics,24067,USA,NA,Medium
10318,45,100,4500,11/2/2004,Shipped,4,11,2004,Motorcycles,118,Diecast Classics Inc.,70267,USA,NA,Medium
10329,20,100,2000,11/15/2004,Shipped,4,11,2004,Motorcycles,118,Land of Toys Inc.,10022,USA,NA,Medium
10339,40,68.92,2756.8,11/23/2004,Shipped,4,11,2004,Motorcycles,118,"Tokyo Collectables, Ltd",106-0032,Japan,Japan,Small
10361,26,51.15,1329.9,12/17/2004,Shipped,4,12,2004,Motorcycles,118,Souveniers And Things Co.,2067,Australia,APAC,Small
10374,39,100,3900,2/2/2005,Shipped,1,2,2005,Motorcycles,118,"Australian Gift Network, Co",4101,Australia,APAC,Medium
10388,50,44.51,2225.5,3/3/2005,Shipped,1,3,2005,Motorcycles,118,FunGiftIdeas.com,50553,USA,NA,Small
10402,45,100,4500,4/7/2005,Shipped,2,4,2005,Motorcycles,118,Auto Canal Petit,75016,France,EMEA,Medium
10417,45,100,4500,5/13/2005,Disputed,2,5,2005,Motorcycles,118,Euro Shopping Channel,28034,Spain,EMEA,Medium
10107,27,100,2700,2/24/2003,Shipped,1,2,2003,Motorcycles,193,Land of Toys Inc.,10022,USA,NA,Medium
10120,46,100,4600,4/29/2003,Shipped,2,4,2003,Motorcycles,193,"Australian Collectors, Co.",3004,Australia,APAC,Large
10134,31,100,3100,7/1/2003,Shipped,3,7,2003,Motorcycles,193,Lyon Souveniers,75508,France,EMEA,Large
10145,33,100,3300,8/25/2003,Shipped,3,8,2003,Motorcycles,193,Toys4GrownUps.com,90003,USA,NA,Medium
10159,22,100,2200,10/10/2003,Shipped,4,10,2003,Motorcycles,193,Corporate Gift Ideas Co.,Unknown,USA,NA,Medium
10168,20,100,2000,10/28/2003,Shipped,4,10,2003,Motorcycles,193,Technics Stores Inc.,94217,USA,NA,Medium
10180,41,100,4100,11/11/2003,Shipped,4,11,2003,Motorcycles,193,Daedalus Designs Imports,59000,France,EMEA,Large
10188,45,100,4500,11/18/2003,Shipped,4,11,2003,Motorcycles,193,Herkku Gifts,N 5804,Norway,EMEA,Large
10201,49,100,4900,12/1/2003,Shipped,4,12,2003,Motorcycles,193,Mini Wheels Co.,Unknown,USA,NA,Large
10210,34,100,3400,1/12/2004,Shipped,1,1,2004,Motorcycles,193,Osaka Souveniers Co.,530-0003,Japan,Japan,Medium
10223,49,100,4900,2/20/2004,Shipped,1,2,2004,Motorcycles,193,"Australian Collectors, Co.",3004,Australia,APAC,Large
10237,39,100,3900,4/5/2004,Shipped,2,4,2004,Motorcycles,193,Vitachrome Inc.,10022,USA,NA,Large
10251,43,100,4300,5/18/2004,Shipped,2,5,2004,Motorcycles,193,Tekni Collectables Inc.,94019,USA,NA,Large
10263,41,100,4100,6/28/2004,Shipped,2,6,2004,Motorcycles,193,Gift Depot Inc.,97562,USA,NA,Large
10275,36,100,3600,7/23/2004,Shipped,3,7,2004,Motorcycles,193,La Rochelle Gifts,44000,France,EMEA,Medium
10285,27,100,2700,8/27/2004,Shipped,3,8,2004,Motorcycles,193,Marta's Replicas Co.,51247,USA,NA,Medium
10299,29,100,2900,9/30/2004,Shipped,3,9,2004,Motorcycles,193,"Toys of Finland, Co.",21240,Finland,EMEA,Medium
10308,20,100,2000,10/15/2004,Shipped,4,10,2004,Motorcycles,193,Mini Classics,24067,USA,NA,Medium
10318,37,100,3700,11/2/2004,Shipped,4,11,2004,Motorcycles,193,Diecast Classics Inc.,70267,USA,NA,Large
10329,26,100,2600,11/15/2004,Shipped,4,11,2004,Motorcycles,193,Land of Toys Inc.,10022,USA,NA,Medium
10339,39,76.67,2990.13,11/23/2004,Shipped,4,11,2004,Motorcycles,193,"Tokyo Collectables, Ltd",106-0032,Japan,Japan,Small
10362,22,100,2200,1/5/2005,Shipped,1,1,2005,Motorcycles,193,Technics Stores Inc.,94217,USA,NA,Medium
10374,22,100,2200,2/2/2005,Shipped,1,2,2005,Motorcycles,193,"Australian Gift Network, Co",4101,Australia,APAC,Medium
10388,21,86.77,1822.17,3/3/2005,Shipped,1,3,2005,Motorcycles,193,FunGiftIdeas.com,50553,USA,NA,Small
10403,66,100,6600,4/8/2005,Shipped,2,4,2005,Motorcycles,193,"UK Collectables, Ltd.",WX1 6LT,UK,EMEA,Large
10417,56,100,5600,5/13/2005,Disputed,2,5,2005,Motorcycles,193,Euro Shopping Channel,28034,Spain,EMEA,Large
10105,50,100,5000,2/11/2003,Shipped,1,2,2003,Classic Cars,136,Danish Wholesale Imports,1734,Denmark,EMEA,Large
10119,46,100,4600,4/28/2003,Shipped,2,4,2003,Classic Cars,136,Salzburg Collectables,5020,Austria,EMEA,Medium
10129,33,100,3300,6/12/2003,Shipped,2,6,2003,Classic Cars,136,"Stylish Desk Decors, Co.",WX3 6FW,UK,EMEA,Medium
10143,49,100,4900,8/10/2003,Shipped,3,8,2003,Classic Cars,136,Mini Creations Ltd.,50553,USA,NA,Medium
10155,32,100,3200,10/6/2003,Shipped,4,10,2003,Classic Cars,136,"Toys of Finland, Co.",21240,Finland,EMEA,Medium
10167,44,100,4400,10/23/2003,Cancelled,4,10,2003,Classic Cars,136,Scandinavian Gift Ideas,S-844 67,Sweden,EMEA,Medium
10178,24,100,2400,11/8/2003,Shipped,4,11,2003,Classic Cars,136,Alpha Cognac,31000,France,EMEA,Medium
10186,26,100,2600,11/14/2003,Shipped,4,11,2003,Classic Cars,136,"Double Decker Gift Stores, Ltd",WA1 1DP,UK,EMEA,Medium
10197,45,100,4500,11/26/2003,Shipped,4,11,2003,Classic Cars,136,Enaco Distributors,8022,Spain,EMEA,Medium
10209,39,100,3900,1/9/2004,Shipped,1,1,2004,Classic Cars,136,"Men 'R' US Retailers, Ltd.",Unknown,USA,NA,Medium
10222,49,100,4900,2/19/2004,Shipped,1,2,2004,Classic Cars,136,Collectable Mini Designs Co.,91217,USA,NA,Medium
10248,20,100,2000,5/7/2004,Cancelled,2,5,2004,Classic Cars,136,Land of Toys Inc.,10022,USA,NA,Small
10261,27,100,2700,6/17/2004,Shipped,2,6,2004,Classic Cars,136,Quebec Home Shopping Network,H1J 1C3,Canada,NA,Medium
10273,30,100,3000,7/21/2004,Shipped,3,7,2004,Classic Cars,136,Petit Auto,B-1180,Belgium,EMEA,Medium
10283,25,100,2500,8/20/2004,Shipped,3,8,2004,Classic Cars,136,"Royal Canadian Collectables, Ltd.",T2F 8M4,Canada,NA,Small
10295,24,100,2400,9/10/2004,Shipped,3,9,2004,Classic Cars,136,Gifts4AllAges.com,51003,USA,NA,Medium
10307,22,100,2200,10/14/2004,Shipped,4,10,2004,Classic Cars,136,"Classic Gift Ideas, Inc",71270,USA,NA,Small
10316,33,100,3300,11/1/2004,Shipped,4,11,2004,Classic Cars,136,giftsbymail.co.uk,PO31 7PJ,UK,EMEA,Medium
10325,47,64.93,3051.71,11/5/2004,Shipped,4,11,2004,Classic Cars,136,Baane Mini Imports,4110,Norway,EMEA,Medium
10337,25,48.05,1201.25,11/21/2004,Shipped,4,11,2004,Classic Cars,136,Classic Legends Inc.,10022,USA,NA,Small
10350,26,75.47,1962.22,12/2/2004,Shipped,4,12,2004,Classic Cars,136,Euro Shopping Channel,28034,Spain,EMEA,Small
10359,48,54.68,2624.64,12/15/2004,Shipped,4,12,2004,Classic Cars,136,Reims Collectables,51100,France,EMEA,Small
10373,39,100,3900,1/31/2005,Shipped,1,1,2005,Classic Cars,136,"Oulu Toy Supplies, Inc.",90110,Finland,EMEA,Medium
10384,34,100,3400,2/23/2005,Shipped,1,2,2005,Classic Cars,136,Corporate Gift Ideas Co.,Unknown,USA,NA,Medium
10395,32,100,3200,3/17/2005,Shipped,1,3,2005,Classic Cars,136,Lyon Souveniers,75508,France,EMEA,Medium
10400,64,100,6400,4/1/2005,Shipped,2,4,2005,Classic Cars,136,The Sharp Gifts Warehouse,94217,USA,NA,Large
10414,19,100,1900,5/6/2005,On Hold,2,5,2005,Classic Cars,136,Gifts4AllAges.com,51003,USA,NA,Small
10103,42,100,4200,1/29/2003,Shipped,1,1,2003,Classic Cars,147,Baane Mini Imports,4110,Norway,EMEA,Medium
10114,31,100,3100,4/1/2003,Shipped,2,4,2003,Classic Cars,147,"La Corne D'abondance, Co.",75012,France,EMEA,Medium
10126,22,100,2200,5/28/2003,Shipped,2,5,2003,Classic Cars,147,"Corrida Auto Replicas, Ltd",28023,Spain,EMEA,Medium
10140,26,100,2600,7/24/2003,Shipped,3,7,2003,Classic Cars,147,Technics Stores Inc.,94217,USA,NA,Medium
10150,20,100,2000,9/19/2003,Shipped,3,9,2003,Classic Cars,147,"Dragon Souveniers, Ltd.",79903,Singapore,Japan,Medium
10164,21,100,2100,10/21/2003,Resolved,4,10,2003,Classic Cars,147,Mini Auto Werke,8010,Austria,EMEA,Medium
10175,33,100,3300,11/6/2003,Shipped,4,11,2003,Classic Cars,147,"Stylish Desk Decors, Co.",WX3 6FW,UK,EMEA,Medium
10183,28,100,2800,11/13/2003,Shipped,4,11,2003,Classic Cars,147,"Classic Gift Ideas, Inc",71270,USA,NA,Medium
10194,26,100,2600,11/25/2003,Shipped,4,11,2003,Classic Cars,147,"Saveley & Henriot, Co.",69004,France,EMEA,Medium
10207,31,100,3100,12/9/2003,Shipped,4,12,2003,Classic Cars,147,Diecast Collectables,51003,USA,NA,Medium
10217,48,100,4800,2/4/2004,Shipped,1,2,2004,Classic Cars,147,Handji Gifts& Co,69045,Singapore,APAC,Large
10229,50,100,5000,3/11/2004,Shipped,1,3,2004,Classic Cars,147,Mini Gifts Distributors Ltd.,97562,USA,NA,Medium
10245,28,100,2800,5/4/2004,Shipped,2,5,2004,Classic Cars,147,Super Scale Inc.,97823,USA,NA,Medium
10259,26,100,2600,6/15/2004,Shipped,2,6,2004,Classic Cars,147,Handji Gifts& Co,69045,Singapore,APAC,Medium
10270,32,100,3200,7/19/2004,Shipped,3,7,2004,Classic Cars,147,Souveniers And Things Co.,2067,Australia,APAC,Medium
10281,44,100,4400,8/19/2004,Shipped,3,8,2004,Classic Cars,147,Diecast Classics Inc.,70267,USA,NA,Large
10291,30,100,3000,9/8/2004,Shipped,3,9,2004,Classic Cars,147,Scandinavian Gift Ideas,S-844 67,Sweden,EMEA,Medium
10305,38,100,3800,10/13/2004,Shipped,4,10,2004,Classic Cars,147,Marta's Replicas Co.,51247,USA,NA,Medium
10313,40,100,4000,10/22/2004,Shipped,4,10,2004,Classic Cars,147,Canadian Gift Exchange Network,V3F 2K1,Canada,NA,Medium
10322,46,61.99,2851.54,11/4/2004,Shipped,4,11,2004,Classic Cars,147,Online Diecast Creations Co.,62005,USA,NA,Small
10334,26,100,2600,11/19/2004,On Hold,4,11,2004,Classic Cars,147,"Volvo Model Replicas, Co",S-958 22,Sweden,EMEA,Medium
10347,27,100,2700,11/29/2004,Shipped,4,11,2004,Classic Cars,147,"Australian Collectors, Co.",3004,Australia,APAC,Medium
10357,43,100,4300,12/10/2004,Shipped,4,12,2004,Classic Cars,147,Mini Gifts Distributors Ltd.,97562,USA,NA,Medium
10370,35,65.63,2297.05,1/20/2005,Shipped,1,1,2005,Classic Cars,147,"Anna's Decorations, Ltd",2060,Australia,APAC,Small
10381,37,100,3700,2/17/2005,Shipped,1,2,2005,Classic Cars,147,Corporate Gift Ideas Co.,Unknown,USA,NA,Medium
10391,37,46.9,1735.3,3/9/2005,Shipped,1,3,2005,Classic Cars,147,"Anna's Decorations, Ltd",2060,Australia,APAC,Small
10411,27,100,2700,5/1/2005,Shipped,2,5,2005,Classic Cars,147,Quebec Home Shopping Network,H1J 1C3,Canada,NA,Medium
10425,38,100,3800,5/31/2005,In Process,2,5,2005,Classic Cars,147,La Rochelle Gifts,44000,France,EMEA,Medium
10108,33,100,3300,3/3/2003,Shipped,1,3,2003,Classic Cars,194,Cruz & Sons Co.,1227 MM,Philippines,Japan,Medium
10122,42,100,4200,5/8/2003,Shipped,2,5,2003,Classic Cars,194,Marseille Mini Autos,13008,France,EMEA,Large
10135,42,100,4200,7/2/2003,Shipped,3,7,2003,Classic Cars,194,Mini Gifts Distributors Ltd.,97562,USA,NA,Large
10147,48,100,4800,9/5/2003,Shipped,3,9,2003,Classic Cars,194,Collectables For Less Inc.,58339,USA,NA,Large
10159,41,100,4100,10/10/2003,Shipped,4,10,2003,Classic Cars,194,Corporate Gift Ideas Co.,Unknown,USA,NA,Large
10169,30,100,3000,11/4/2003,Shipped,4,11,2003,Classic Cars,194,"Anna's Decorations, Ltd",2060,Australia,APAC,Medium
10181,27,100,2700,11/12/2003,Shipped,4,11,2003,Classic Cars,194,Herkku Gifts,N 5804,Norway,EMEA,Medium
10191,21,100,2100,11/20/2003,Shipped,4,11,2003,Classic Cars,194,"Toms Spezialitten, Ltd",50739,Germany,EMEA,Medium
10203,20,100,2000,12/2/2003,Shipped,4,12,2003,Classic Cars,194,Euro Shopping Channel,28034,Spain,EMEA,Medium
10211,41,100,4100,1/15/2004,Shipped,1,1,2004,Classic Cars,194,Auto Canal Petit,75016,France,EMEA,Large
10225,27,100,2700,2/22/2004,Shipped,1,2,2004,Classic Cars,194,"Vida Sport, Ltd",1203,Switzerland,EMEA,Medium
10238,28,100,2800,4/9/2004,Shipped,2,4,2004,Classic Cars,194,Danish Wholesale Imports,1734,Denmark,EMEA,Medium
10253,24,100,2400,6/1/2004,Cancelled,2,6,2004,Classic Cars,194,"UK Collectables, Ltd.",WX1 6LT,UK,EMEA,Medium
10266,44,100,4400,7/6/2004,Shipped,3,7,2004,Classic Cars,194,L'ordine Souveniers,42100,Italy,EMEA,Large
10276,50,100,5000,8/2/2004,Shipped,3,8,2004,Classic Cars,194,Online Mini Collectables,58339,USA,NA,Large
10287,21,100,2100,8/30/2004,Shipped,3,8,2004,Classic Cars,194,"Vida Sport, Ltd",1203,Switzerland,EMEA,Medium
10300,33,100,3300,10/4/2003,Shipped,4,10,2003,Classic Cars,194,"Blauer See Auto, Co.",60528,Germany,EMEA,Medium
10310,33,100,3300,10/16/2004,Shipped,4,10,2004,Classic Cars,194,"Toms Spezialitten, Ltd",50739,Germany,EMEA,Medium
10320,31,100,3100,11/3/2004,Shipped,4,11,2004,Classic Cars,194,"Volvo Model Replicas, Co",S-958 22,Sweden,EMEA,Medium
10329,41,71.47,2930.27,11/15/2004,Shipped,4,11,2004,Classic Cars,194,Land of Toys Inc.,10022,USA,NA,Small
10341,45,79.65,3584.25,11/24/2004,Shipped,4,11,2004,Classic Cars,194,Salzburg Collectables,5020,Austria,EMEA,Medium
10363,33,85.39,2817.87,1/6/2005,Shipped,1,1,2005,Classic Cars,194,Suominen Souveniers,FIN-02271,Finland,EMEA,Small
10375,45,76,3420,2/3/2005,Shipped,1,2,2005,Classic Cars,194,La Rochelle Gifts,44000,France,EMEA,Medium
10389,26,99.04,2575.04,3/3/2005,Shipped,1,3,2005,Classic Cars,194,Scandinavian Gift Ideas,S-844 67,Sweden,EMEA,Small
10419,12,100,1200,5/17/2005,Shipped,2,5,2005,Classic Cars,194,Salzburg Collectables,5020,Austria,EMEA,Small
10105,41,100,4100,2/11/2003,Shipped,1,2,2003,Classic Cars,207,Danish Wholesale Imports,1734,Denmark,EMEA,Large
10117,33,100,3300,4/16/2003,Shipped,2,4,2003,Classic Cars,207,"Dragon Souveniers, Ltd.",79903,Singapore,Japan,Medium
10127,46,100,4600,6/3/2003,Shipped,2,6,2003,Classic Cars,207,Muscle Machine Inc,10022,USA,NA,Large
10142,33,100,3300,8/8/2003,Shipped,3,8,2003,Classic Cars,207,Mini Gifts Distributors Ltd.,97562,USA,NA,Large
10153,20,100,2000,9/28/2003,Shipped,3,9,2003,Classic Cars,207,Euro Shopping Channel,28034,Spain,EMEA,Medium
10165,44,100,4400,10/22/2003,Shipped,4,10,2003,Classic Cars,207,"Dragon Souveniers, Ltd.",79903,Singapore,Japan,Large
10176,33,100,3300,11/6/2003,Shipped,4,11,2003,Classic Cars,207,L'ordine Souveniers,42100,Italy,EMEA,Large
10185,21,100,2100,11/14/2003,Shipped,4,11,2003,Classic Cars,207,Mini Creations Ltd.,50553,USA,NA,Medium
10196,47,100,4700,11/26/2003,Shipped,4,11,2003,Classic Cars,207,Super Scale Inc.,97823,USA,NA,Large
10208,46,100,4600,1/2/2004,Shipped,1,1,2004,Classic Cars,207,"Saveley & Henriot, Co.",69004,France,EMEA,Large
10220,32,100,3200,2/12/2004,Shipped,1,2,2004,Classic Cars,207,"Clover Collections, Co.",2,Ireland,EMEA,Large
10231,42,100,4200,3/19/2004,Shipped,1,3,2004,Classic Cars,207,CAF Imports,28023,Spain,EMEA,Large
10247,44,100,4400,5/5/2004,Shipped,2,5,2004,Classic Cars,207,Suominen Souveniers,FIN-02271,Finland,EMEA,Large
10272,35,100,3500,7/20/2004,Shipped,3,7,2004,Classic Cars,207,Diecast Classics Inc.,70267,USA,NA,Medium
10282,41,100,4100,8/20/2004,Shipped,3,8,2004,Classic Cars,207,Mini Gifts Distributors Ltd.,97562,USA,NA,Large
10293,46,100,4600,9/9/2004,Shipped,3,9,2004,Classic Cars,207,Amica Models & Co.,10100,Italy,EMEA,Large
10306,31,100,3100,10/14/2004,Shipped,4,10,2004,Classic Cars,207,"AV Stores, Co.",EC2 5NT,UK,EMEA,Medium
10314,38,100,3800,10/22/2004,Shipped,4,10,2004,Classic Cars,207,Heintze Collectables,8200,Denmark,EMEA,Large
10325,42,64,2688,11/5/2004,Shipped,4,11,2004,Classic Cars,207,Baane Mini Imports,4110,Norway,EMEA,Small
10336,33,57.22,1888.26,11/20/2004,Shipped,4,11,2004,Classic Cars,207,"La Corne D'abondance, Co.",75012,France,EMEA,Small
10348,48,52.36,2513.28,11/1/2004,Shipped,4,11,2004,Classic Cars,207,"Corrida Auto Replicas, Ltd",28023,Spain,EMEA,Small
10359,42,100,4200,12/15/2004,Shipped,4,12,2004,Classic Cars,207,Reims Collectables,51100,France,EMEA,Medium
